observed_date,fetched_at,item_id,item_name,category,sku,status,product_name,shelf_price,effective_price,on_sale,discount_percent,unit_price,unit,pack_size,charged_by_weight,price_per_kilo,price_info,temporary_shortage,brand,category_path
2026-08-23,2026-08-23T12:57:33+00:00,21,Lambahakk (minced lamb),Meat & Poultry,100236974,ok,Ódýrt lambahakk vacuumpakkað,1559,1559,false,0,2599.0,KG,0.5998,true,2599,ca. 600 gr. - 2.599 kr. / kg,false,Ódýrt,Kjöt / Lambakjöt / Lambakjöt
2026-08-23,2026-08-23T12:57:33+00:00,22,"Nautahakk (minced beef, 10-12% fat)",Meat & Poultry,100227558,ok,Ódýrt Ungnautahakk,1686,1686,false,0,3.37,KG,500.0,false,,500 gr. - 3.372 kr. / kg,false,Ódýrt,Kjöt / Lambakjöt / Nautakjöt
2026-08-23,2026-08-23T12:57:33+00:00,23,Gúllas (goulash cuts),Meat & Poultry,00201535,ok,Kjötborð ungnautagúllas,3119,3119,false,0,4799.0,KG,0.6499,true,4799,ca. 650 gr. - 4.799 kr. / kg,false,Kjötborð,Kjöt / Lambakjöt / Nautakjöt
2026-08-23,2026-08-23T12:57:33+00:00,24,Ribeye steak,Meat & Poultry,00201551,ok,Kjötborð ungnautaribeye,5879,5879,false,0,8399.0,KG,0.7,true,8399,ca. 700 gr. - 8.399 kr. / kg,false,Kjötborð,Kjöt / Lambakjöt / Nautakjöt
2026-08-23,2026-08-23T12:57:33+00:00,25,Grísakótilettur (pork chops),Meat & Poultry,00201466,ok,Kjötborð lúxus grísakótilettur úrbeinaðar,2274,2274,false,0,3499.0,KG,0.6499,true,3499,ca. 650 gr. - 3.499 kr. / kg,false,Kjötborð,Kjöt / Lambakjöt / Svínakjöt
2026-08-23,2026-08-23T12:57:33+00:00,26,Beikon (bacon),Meat & Poultry,100253020,ok,Stjörnugrís beikon,999,999,false,0,3.33,KG,300.0,false,,300 gr. - 3.330 kr. / kg,false,Stjörnugrís,Kjöt / Lambakjöt / Svínakjöt
2026-08-23,2026-08-23T12:57:33+00:00,27,Hakk (mixed pork/beef mince),Meat & Poultry,100267435,ok,Ódýrt blandað hakk 60/40,1199,1199,false,0,2.4,KG,500.0,false,,500 gr. - 2.398 kr. / kg,false,Ódýrt,Kjöt / Lambakjöt / Nautakjöt
2026-08-23,2026-08-23T12:57:33+00:00,28,Whole chicken,Meat & Poultry,100244847,ok,Ódýrt kjúklingur heill,2044,1854,true,9,975.98,KG,1.8996,true,1076,ca. 1900 gr. - 976 kr. / kg,false,Ódýrt,Kjöt / Fuglakjöt / Kjúklingur
2026-08-23,2026-08-23T12:57:33+00:00,29,Chicken breasts,Meat & Poultry,100244878,ok,Ódýrt kjúklingabringur,2243,2243,false,0,2769.0,KG,0.81,true,2769,ca. 810 gr. - 2.769 kr. / kg,false,Ódýrt,Kjöt / Fuglakjöt / Kjúklingur
2026-08-23,2026-08-23T12:57:33+00:00,30,Chicken thighs,Meat & Poultry,100261708,ok,Ódýrt kjúklingalæri úrbeinuð 100%,2483,2483,false,0,3599.0,KG,0.6899,true,3599,ca. 690 gr. - 3.599 kr. / kg,false,Ódýrt,Kjöt / Fuglakjöt / Kjúklingur
2026-08-23,2026-08-23T12:57:33+00:00,31,SS Pylsur (Icelandic hot dogs),Meat & Poultry,100151785,ok,SS vínarpylsur 5 stk,630,630,false,0,2.25,KG,280.0,false,,280 gr. - 2.250 kr. / kg,false,SS,"Kjöt / Unnin kjötvara / Pylsur, búðingar og bjúgu"
2026-08-23,2026-08-23T12:57:33+00:00,32,Hangikjöt (smoked lamb slices),Meat & Poultry,100198410,ok,SS hangiálegg í sneiðum,1119,1119,false,0,9.73,KG,115.0,false,,115 gr. - 9.730 kr. / kg,false,SS,Á brauð / Álegg / Kjötálegg
2026-08-23,2026-08-23T12:57:33+00:00,33,Pepperoni slices,Meat & Poultry,100198422,ok,SS pepperoni í sneiðum,669,669,false,0,5.15,KG,130.0,false,,130 gr. - 5.146 kr. / kg,false,SS,Á brauð / Álegg / Kjötálegg
2026-08-23,2026-08-23T12:57:33+00:00,34,Heilhveitibrauð (whole wheat loaf),"Bread, Grains & Baking",100203530,ok,Myllu lífskorn heilt hveitikorn og rúgur,590,590,false,0,1.31,KG,450.0,false,,450 gr. - 1.311 kr. / kg,false,Myllu,"Brauð, kökur og kex / Brauð / Samlokubrauð"
2026-08-23,2026-08-23T12:57:33+00:00,35,Rúgbrauð (dense rye bread),"Bread, Grains & Baking",02200222,ok,Myllu seytt rúgbrauð,475,475,false,0,1.19,KG,400.0,false,,400 gr. - 1.188 kr. / kg,false,Myllu,"Brauð, kökur og kex / Brauð / Rúgbrauð, maltbrauð, flatkökur og skonsur"
2026-08-23,2026-08-23T12:57:33+00:00,36,Heimilisbrauð (standard white loaf),"Bread, Grains & Baking",02201071,ok,Myllu heimilisbrauð hálft,338,338,false,0,0.88,KG,385.0,false,,385 gr. - 878 kr. / kg,false,Myllu,"Brauð, kökur og kex / Brauð / Samlokubrauð"
2026-08-23,2026-08-23T12:57:33+00:00,37,Flatkökur (traditional rye flatbread),"Bread, Grains & Baking",100196540,ok,Ódýrt flatkökur,198,198,false,0,1.13,KG,175.0,false,,175 gr. - 1.131 kr. / kg,false,Ódýrt,"Brauð, kökur og kex / Brauð / Rúgbrauð, maltbrauð, flatkökur og skonsur"
2026-08-23,2026-08-23T12:57:33+00:00,38,Hrökkbrauð (crispbread),"Bread, Grains & Baking",02100141,ok,Finn Crisp original,260,260,false,0,1.3,KG,200.0,false,,200 gr. - 1.300 kr. / kg,false,Finn Crisp,"Brauð, kökur og kex / Brauð / Hrökkbrauð, rís- og maískökur"
2026-08-23,2026-08-23T12:57:33+00:00,39,Ritz crackers,"Bread, Grains & Baking",02100098,ok,Ritz saltkex,279,279,false,0,1.4,KG,200.0,false,,200 gr. - 1.395 kr. / kg,false,Ritz,"Brauð, kökur og kex / Kex / Kex og smákökur"
2026-08-23,2026-08-23T12:57:33+00:00,40,Hafragrautur (rolled oats),"Bread, Grains & Baking",100249695,ok,"Ota haframjöl 1,8kg",730,730,false,0,0.41,KG,1800.0,false,,1800 gr. - 406 kr. / kg,false,Ota,Morgunmatur og heilsubót / Morgunmatur / Haframjöl
2026-08-23,2026-08-23T12:57:33+00:00,41,Cheerios,"Bread, Grains & Baking",100247973,ok,Cheerios tvenna,1270,1270,false,0,1270.0,KG,1.0,false,,1 kg. - 1.270 kr. / kg,false,Cheerios,Morgunmatur og heilsubót / Morgunmatur / Morgunkorn
2026-08-23,2026-08-23T12:57:33+00:00,42,Corn Flakes,"Bread, Grains & Baking",05400182,ok,Kelloggs cornflakes 1kg,880,880,false,0,880.0,KG,1.0,false,,1 kg. - 880 kr. / kg,false,Kelloggs,Morgunmatur og heilsubót / Morgunmatur / Morgunkorn
2026-08-23,2026-08-23T12:57:33+00:00,43,Spaghetti,"Bread, Grains & Baking",100243655,ok,Rummo spaghetti,475,475,false,0,0.95,KG,500.0,false,,500 gr. - 950 kr. / kg,false,Rummo,Eldamennskan / Ítalía / Pasta
2026-08-23,2026-08-23T12:57:33+00:00,44,Penne,"Bread, Grains & Baking",100243657,ok,Rummo penne,475,475,false,0,0.95,KG,500.0,false,,500 gr. - 950 kr. / kg,false,Rummo,Eldamennskan / Ítalía / Pasta
2026-08-23,2026-08-23T12:57:33+00:00,45,Basmati rice,"Bread, Grains & Baking",100217307,ok,Grön Balance hrísgrjón basmati,599,599,false,0,599.0,KG,1.0,false,,1 kg. - 599 kr. / kg,false,Grön Balance,"Eldamennskan / Hrísgrjón, kúskús og kínóa / Hrísgrjón"
